sep=,
DeviceTag:,Dot6_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-11-17_10:16:38_930 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
185,1007288958,-6.979926,-17.294743,5.257091,-8.487853,-73.111366,4.112717,0.384286,0.131419,0.912793,-0.043164,
186,1007305625,-7.528700,-15.162601,7.461689,23.112402,-89.727127,-18.932220,0.395904,0.129617,0.907767,-0.049182,
187,1007322292,-7.757443,-10.578168,5.638713,34.035542,-99.330254,-30.062365,0.408463,0.126810,0.902088,-0.057573,
188,1007338959,-7.965342,-14.373607,5.685922,34.325890,-106.407585,-42.550571,0.421765,0.122239,0.895930,-0.066940,
189,1007355626,-4.373296,-3.940325,-6.845141,35.066753,-106.195351,-48.583462,0.434868,0.116823,0.889570,-0.076856,
190,1007372293,-3.331064,-8.933490,-8.670073,8.971049,-95.007545,-47.895035,0.446813,0.109915,0.883947,-0.083152,
191,1007388960,-4.077870,-9.065552,-10.363423,-15.774852,-84.449913,-53.398361,0.457569,0.100747,0.879206,-0.086476,
192,1007405627,-6.788921,-10.000577,-16.496412,-36.983753,-70.380348,-61.725281,0.466565,0.089211,0.875620,-0.087457,
193,1007422294,-11.360435,-6.878155,-7.892820,-46.597298,-60.652946,-65.983879,0.474202,0.076532,0.872719,-0.087390,
194,1007438961,-14.576365,1.748035,-8.662559,-88.821793,-46.531345,-65.569786,0.480364,0.061121,0.871106,-0.081785,
195,1007455628,-15.671290,3.491484,-8.374444,-74.752975,-38.945744,-66.764656,0.485270,0.046625,0.869636,-0.077930,
196,1007472295,-15.291242,5.028742,-3.598141,-76.823662,-40.548717,-64.594513,0.490280,0.032252,0.867852,-0.073617,
197,1007488962,-13.864273,1.680576,-4.113313,-47.938190,-45.652317,-64.105507,0.495707,0.019967,0.865196,-0.072881,
198,1007505629,-13.980243,1.254697,-7.647738,-16.498699,-45.184860,-70.187706,0.500834,0.009208,0.862107,-0.076497,
199,1007522296,-14.071768,3.835588,-4.083930,3.216422,-54.491848,-69.293045,0.507011,-0.000077,0.857986,-0.082468,
200,1007538963,-14.631251,4.184249,-0.666509,-5.352762,-58.259861,-69.809402,0.513556,-0.010051,0.853542,-0.087321,
201,1007555630,-15.566300,6.044012,1.720336,-16.576801,-57.905197,-65.864044,0.520005,-0.020314,0.849124,-0.090397,
202,1007572297,-11.184007,2.934742,0.374099,-40.866364,-61.568649,-59.099148,0.526837,-0.031561,0.844614,-0.089857,
