PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
138;3356911659;-11.463952;-0.712608;-0.229570;-36.594070;-52.267090;-33.784870;0.561730;-0.170515;0.802208;-0.108843
139;3356928326;-11.816769;-1.483011;-1.108514;-63.811890;-53.746071;-34.031055;0.566247;-0.180534;0.797602;-0.102973
140;3356944993;-11.886737;-0.600403;-0.280028;-46.118031;-57.114861;-29.971542;0.571612;-0.188632;0.792424;-0.098701
141;3356961660;-10.643868;-5.205293;-2.595214;-58.903000;-57.238224;-32.692665;0.576539;-0.198059;0.787210;-0.093141
142;3356978327;-9.862371;-3.418628;-1.785116;-49.103817;-61.672333;-34.201874;0.582143;-0.206871;0.781310;-0.088699
143;3356994994;-9.217918;-8.243649;-6.219061;-86.917549;-60.340836;-40.300510;0.586259;-0.219516;0.775650;-0.080501
144;3357011661;-8.568427;-6.308423;-2.986437;-91.286118;-59.153038;-44.322750;0.589857;-0.232944;0.769800;-0.072206
145;3357028328;-8.934258;-9.901175;-3.629630;-82.470413;-56.125137;-47.168835;0.593213;-0.245856;0.763803;-0.065251
146;3357044995;-9.925720;-4.726124;-0.146954;-56.526051;-55.740589;-48.665836;0.597296;-0.256671;0.757360;-0.061354
147;3357061662;-9.880657;-6.069280;-1.640895;-48.072716;-55.002090;-50.373989;0.601503;-0.266886;0.750691;-0.058562
148;3357078329;-9.600986;-6.048349;-3.281592;-81.283562;-53.775253;-55.067078;0.604116;-0.280459;0.744056;-0.052607
149;3357094996;-10.619778;-4.981376;-3.248339;-87.260201;-53.079445;-65.169701;0.606145;-0.295576;0.736900;-0.046923
150;3357111663;-11.855923;-6.844649;-4.198134;-92.883835;-54.908604;-70.778320;0.607876;-0.311707;0.729137;-0.041046
151;3357128330;-12.591546;-7.466751;-6.362845;-90.478371;-50.257278;-80.021614;0.608933;-0.328476;0.721094;-0.036452
152;3357144997;-11.975001;-8.983058;-4.277907;-74.514099;-47.304016;-86.886757;0.610166;-0.344433;0.712663;-0.034282
153;3357161664;-11.211388;-8.134179;-4.104996;-82.539627;-44.571522;-95.347168;0.610441;-0.361855;0.703837;-0.032180
154;3357178331;-12.060618;-8.078050;-6.886988;-81.368980;-40.492832;-106.305725;0.610049;-0.380141;0.694513;-0.031391
155;3357194998;-12.704392;-10.869677;-6.404243;-57.645908;-37.404282;-118.418053;0.610317;-0.397385;0.684416;-0.034243
156;3357211665;-12.680504;-10.088691;-6.406001;-37.315758;-37.793854;-131.288803;0.611455;-0.413955;0.673160;-0.040247
157;3357228332;-11.877762;-9.995919;-7.106497;-32.350903;-29.933121;-140.891083;0.611764;-0.430797;0.661702;-0.048057
158;3357244999;-12.072312;-12.305218;-8.581876;-13.724575;-25.970804;-150.506287;0.612462;-0.446677;0.649553;-0.058749
159;3357261666;-12.588536;-11.674645;-8.360648;-16.270714;-18.686338;-164.007767;0.611815;-0.463766;0.636854;-0.070858
160;3357278333;-13.746408;-16.772436;-12.513464;-12.497376;-13.405221;-179.923676;0.610336;-0.481647;0.623117;-0.085046
161;3357295000;-14.957911;-15.062647;-12.088840;8.426943;-7.589901;-196.568619;0.609063;-0.498762;0.608012;-0.102960
