PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
134;2739559365;-7.483961;-7.928017;0.722247;0.178578;-0.921852;0.220724;0.655302;-0.269106;0.637098;-0.303758
135;2739576032;-7.252735;-8.427866;0.041563;-2.029051;-1.319361;-0.895087;0.655122;-0.269532;0.637227;-0.303497
136;2739592699;-6.925148;-8.393346;-0.351503;2.386944;-1.901500;-1.861825;0.655124;-0.269655;0.637068;-0.303716
137;2739609366;-6.691915;-8.298740;-0.116111;2.025574;-1.829797;-2.909847;0.655055;-0.269912;0.636892;-0.304006
138;2739626033;-6.573627;-7.536368;0.364714;-0.828686;-1.910029;-3.420846;0.654855;-0.270497;0.636815;-0.304081
139;2739642700;-6.731941;-7.671948;0.348677;-3.532100;-2.454587;-3.918417;0.654577;-0.271410;0.636783;-0.303933
140;2739659367;-6.848959;-7.145610;-0.137567;-6.004937;-2.244992;-4.484426;0.654157;-0.272602;0.636855;-0.303618
141;2739676034;-7.040959;-7.011689;-0.359504;-3.684720;-2.244889;-4.166431;0.653841;-0.273542;0.636839;-0.303486
142;2739692701;-7.176204;-6.586532;-0.735587;4.243416;-2.325902;-3.912609;0.653858;-0.273707;0.636479;-0.304055
143;2739709368;-7.114241;-6.765798;-0.170730;6.306751;-2.201758;-3.520300;0.653960;-0.273630;0.636063;-0.304774
144;2739726035;-7.037982;-6.726068;-0.313909;3.471411;-2.399257;-3.146636;0.653984;-0.273794;0.635772;-0.305183
145;2739742702;-7.330964;-7.378202;-0.678664;6.106555;-2.699828;-3.053437;0.654144;-0.273709;0.635343;-0.305809
146;2739759369;-7.167301;-7.122258;-0.483516;13.214125;-3.092543;-2.862798;0.654627;-0.272946;0.634574;-0.307052
147;2739776036;-6.608866;-6.821967;-0.152956;14.114190;-2.985073;-2.892803;0.655129;-0.272094;0.633777;-0.308379
148;2739792703;-6.210664;-6.180741;-0.200151;6.037753;-1.931249;-1.935014;0.655256;-0.271874;0.633482;-0.308910
149;2739809370;-6.273210;-6.093236;-0.258376;0.478106;-1.143441;-0.745406;0.655143;-0.272037;0.633562;-0.308842
150;2739826037;-6.520780;-6.456803;-0.068549;-2.310214;-0.272212;0.251510;0.654883;-0.272333;0.633894;-0.308452
151;2739842704;-6.416138;-5.718440;0.006501;3.604674;-0.413158;1.513615;0.654927;-0.271952;0.633999;-0.308478
152;2739859371;-6.374522;-5.472617;0.063897;7.182103;-0.530529;4.446218;0.655256;-0.270960;0.634051;-0.308545
153;2739876038;-6.322888;-5.225185;-0.539243;5.553122;0.509072;6.758212;0.655531;-0.269857;0.634369;-0.308276
154;2739892705;-6.216264;-5.216387;-0.884528;-3.166179;2.247086;9.980717;0.655444;-0.269204;0.635375;-0.306955
155;2739909372;-6.434808;-5.144305;-0.546377;-1.686981;1.875126;13.555432;0.655604;-0.268092;0.636426;-0.305405
156;2739926039;-6.553435;-4.346501;0.005314;9.045491;0.480309;18.770021;0.656538;-0.265527;0.637074;-0.304288
157;2739942706;-6.062932;-2.950575;0.662662;26.509439;-2.220618;25.185705;0.658672;-0.260803;0.636932;-0.304059
158;2739959373;-5.831913;-1.501423;1.004926;38.038811;-4.863320;33.362221;0.661831;-0.254308;0.636315;-0.303993
159;2739976040;-5.527352;-0.129630;2.452897;33.449207;-5.537881;42.108677;0.665243;-0.247438;0.636126;-0.302606
160;2739992707;-4.952655;1.685288;4.580736;17.586239;-7.410626;51.321041;0.668644;-0.241287;0.636740;-0.298763
161;2740009374;-3.762586;3.528555;5.537735;6.170696;-12.380758;62.950943;0.672593;-0.235324;0.637709;-0.292522
162;2740026041;-1.979461;-0.231718;-0.461647;3.339193;-11.322729;69.762535;0.676613;-0.228892;0.639047;-0.285347
163;2740042708;-0.719803;0.813254;-0.264889;7.353782;-10.125741;75.374367;0.680806;-0.221459;0.640452;-0.277996
164;2740059375;-1.953285;-2.535190;-1.101718;14.797917;-8.427060;80.628738;0.685198;-0.212691;0.641807;-0.270833
165;2740076042;-5.282928;-8.611053;4.407664;-4.282430;-6.133414;81.970894;0.688727;-0.205585;0.644093;-0.261790
166;2740092709;-8.893282;-15.309272;8.263519;-52.214954;-6.992770;73.633850;0.690487;-0.204071;0.647731;-0.249055
167;2740109376;-10.761677;-17.586695;5.631026;-49.165314;-13.202210;63.852791;0.692483;-0.203389;0.650180;-0.237419
168;2740126043;-13.739216;-16.407465;9.050581;-20.174652;-24.430565;53.350491;0.695966;-0.201181;0.650069;-0.229279
169;2740142710;-12.248443;-13.563340;1.131465;-31.695257;-29.203554;49.203346;0.699398;-0.200690;0.649623;-0.220356
170;2740159377;-9.441704;-8.390575;2.791969;0.692652;-40.155354;40.332691;0.704461;-0.198103;0.646707;-0.215083
171;2740176044;-6.280137;-4.273552;1.270916;-6.615777;-38.849209;43.936035;0.709261;-0.195877;0.644197;-0.208789
172;2740192711;-4.949452;-6.699670;4.439727;15.605321;-44.656704;38.102249;0.715009;-0.192067;0.640195;-0.204999
173;2740209378;-5.023221;-5.521471;3.814601;22.072634;-46.361485;33.929451;0.720930;-0.188019;0.635628;-0.202204
174;2740226045;-9.350503;-6.521864;3.730611;23.330412;-48.460129;29.977062;0.726919;-0.184258;0.630623;-0.199882
175;2740242712;-12.264686;-2.024828;-0.782334;-1.766488;-47.857582;27.056015;0.732053;-0.183387;0.626274;-0.195575
176;2740259379;-11.464534;0.874466;-3.003332;19.523207;-45.990967;29.161814;0.737588;-0.179971;0.621556;-0.192988
177;2740276046;-11.637144;5.190705;-7.291492;3.222619;-41.267189;38.190052;0.742456;-0.177311;0.618036;-0.188025
178;2740292713;-12.730403;-0.547426;-1.657670;9.468602;-37.568302;45.175915;0.747258;-0.173191;0.614952;-0.182882
179;2740309380;-11.830611;0.580411;-1.645671;-1.356583;-34.120464;53.210011;0.751621;-0.169394;0.612715;-0.175934
180;2740326047;-13.132400;-1.794543;1.053226;0.604078;-39.038811;51.663975;0.756353;-0.165601;0.609830;-0.169156
181;2740342714;-12.976844;2.608853;-1.192137;-4.090963;-32.990623;58.137985;0.760523;-0.161561;0.607839;-0.161355
182;2740359381;-13.383739;-3.822944;3.445889;-6.342222;-32.491138;55.758465;0.764459;-0.157908;0.605875;-0.153570
183;2740376048;-11.377349;-3.502088;3.500983;3.569879;-32.846966;54.651779;0.768566;-0.153228;0.603567;-0.146750
184;2740392715;-11.314489;-10.337970;9.847511;2.075317;-39.433094;48.867195;0.773032;-0.149338;0.600368;-0.140282
185;2740409382;-10.933454;-8.374870;7.504482;-16.952122;-45.883137;43.284847;0.777493;-0.148209;0.596607;-0.132665
186;2740426049;-10.641558;-6.623220;8.502150;-4.685168;-52.702278;35.704575;0.782612;-0.146481;0.591587;-0.126837
187;2740442716;-11.079720;-1.366856;2.509417;-19.973242;-50.876816;36.045704;0.787208;-0.146419;0.586973;-0.119701
188;2740459383;-10.326777;-3.101380;6.210302;-5.709812;-51.850197;31.508921;0.792045;-0.145098;0.581857;-0.114259
