sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-11-17_10:45:32_044 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
158,2723930827,-5.905327,-10.296746,0.563206,5.005037,1.521439,8.324430,0.214937,0.267975,0.667931,-0.660205,
159,2723947494,-5.736830,-10.593166,0.045177,-3.526742,2.273391,11.151192,0.215814,0.269129,0.667886,-0.659495,
160,2723964161,-5.835682,-11.834484,-1.498162,-4.446035,2.467920,14.639826,0.217042,0.270610,0.667796,-0.658576,
161,2723980828,-5.986486,-13.850970,-2.601055,5.147871,1.564932,19.038849,0.218400,0.272733,0.666582,-0.658481,
162,2723997495,-5.453484,-15.199805,-2.772330,22.846884,-0.278847,26.081232,0.219903,0.275918,0.663325,-0.659941,
163,2724014162,-5.093279,-15.480845,-3.194294,36.011246,-2.195424,34.054497,0.221819,0.280098,0.658399,-0.662467,
164,2724030829,-4.553337,-15.426057,-2.540240,35.277092,-5.639300,43.262516,0.224967,0.284786,0.653021,-0.664727,
165,2724047496,-3.695083,-15.446541,-2.861641,19.372080,-9.366035,53.741306,0.230123,0.289568,0.648580,-0.665243,
166,2724064163,-2.103010,-14.574001,-4.055727,7.478685,-13.823143,64.310341,0.237203,0.294493,0.644646,-0.664417,
167,2724080830,0.324653,-14.270529,-5.922079,3.804473,-22.290943,75.996468,0.246335,0.299534,0.640206,-0.663133,
168,2724097497,2.480059,-11.201850,-1.856500,5.651550,-27.718658,86.916214,0.256905,0.305088,0.634823,-0.661765,
169,2724114164,2.372801,-9.430237,-0.266799,15.160889,-28.946970,93.341423,0.267734,0.311411,0.628075,-0.660964,
170,2724130831,-0.182679,-5.879138,0.849324,3.629341,-28.783583,96.800468,0.279346,0.317551,0.622157,-0.658832,
171,2724147498,-3.497874,-2.612311,1.453081,-44.847252,-33.529942,92.681648,0.293166,0.320819,0.620740,-0.652549,
172,2724164165,-6.862698,-2.607165,-2.380675,-51.797623,-37.354797,82.080994,0.306582,0.322397,0.620170,-0.646118,
173,2724180832,-8.801879,0.348686,-1.712412,-17.436703,-48.355194,73.826973,0.318544,0.323667,0.616146,-0.643541,
174,2724197499,-10.188401,-2.624959,-2.289227,-31.256401,-45.869892,53.550938,0.328990,0.322667,0.614396,-0.640454,
175,2724214166,-7.140965,-4.227953,-2.141074,1.157351,-49.013657,54.814697,0.338276,0.323001,0.609344,-0.640273,
176,2724230833,-4.728399,0.968281,-5.010530,-7.162197,-54.906525,45.652569,0.347584,0.321531,0.605143,-0.640013,
177,2724247500,-2.129957,-6.420343,-1.604996,15.849097,-57.810047,47.177887,0.356175,0.321054,0.598513,-0.641761,
178,2724264167,-2.359097,1.762435,-4.179779,24.048878,-64.922089,47.236538,0.364958,0.320298,0.590668,-0.644467,
179,2724280834,-5.488873,-4.374136,-1.621942,28.566881,-71.043854,42.490433,0.373557,0.318753,0.582206,-0.647997,
180,2724297501,-9.440700,-0.527615,3.541192,8.215683,-72.319725,44.791733,0.383365,0.316127,0.575395,-0.649636,
181,2724314168,-9.229600,-8.934164,-1.088874,16.713575,-74.749779,47.365543,0.393169,0.313911,0.567435,-0.651849,
182,2724330835,-10.013796,1.817221,15.599011,10.610658,-56.646473,42.821838,0.401271,0.312643,0.561218,-0.652902,
183,2724347502,-10.398711,-7.839703,8.772243,6.171926,-50.302853,53.465115,0.410028,0.312553,0.555243,-0.652613,
184,2724364169,-10.398921,-1.402368,3.531319,6.573595,-42.703308,50.189686,0.417802,0.312910,0.549775,-0.652141,
185,2724380836,-10.574501,-6.883183,6.620333,6.447327,-33.973579,53.285248,0.425141,0.314308,0.544660,-0.651016,
186,2724397503,-11.550433,-0.135036,0.294342,0.587225,-35.994392,54.125710,0.432952,0.315192,0.539889,-0.649413,
187,2724414170,-10.626275,-7.416639,2.029971,-2.105388,-37.530750,59.324081,0.441458,0.316141,0.534986,-0.647280,
188,2724430837,-9.680136,3.789890,0.838827,9.203650,-42.153225,60.891090,0.449903,0.317468,0.528592,-0.646067,
189,2724447504,-8.054102,1.517190,3.450305,9.982328,-43.652813,52.988392,0.457637,0.318066,0.522334,-0.645430,
190,2724464171,-8.919425,5.078423,1.981020,-12.229916,-43.140167,41.226372,0.465217,0.316313,0.518692,-0.643808,
191,2724480838,-7.882389,1.588169,5.637649,-0.415136,-49.785221,36.617706,0.472288,0.314367,0.513665,-0.643643,
192,2724497505,-9.437985,2.905495,5.730799,-16.993855,-46.347328,26.137030,0.478847,0.310800,0.510866,-0.642756,
193,2724514172,-8.248395,-6.599179,5.342896,-4.924914,-47.683052,28.028351,0.485108,0.308069,0.506726,-0.642653,
194,2724530839,-7.747406,-1.529899,4.863351,-1.321759,-50.190342,29.792736,0.491523,0.305467,0.501960,-0.642761,
195,2724547506,-7.925575,-10.016149,8.274547,-1.038841,-52.564331,37.203136,0.498755,0.303180,0.496627,-0.642416,
196,2724564173,-8.825069,-2.632218,5.908208,-14.569955,-48.761772,41.515751,0.506667,0.300549,0.492602,-0.640557,
197,2724580840,-7.816658,-4.663421,10.811728,-32.313259,-43.623318,37.547234,0.514573,0.296778,0.490737,-0.637437,
198,2724597507,-6.530811,-2.270272,6.631985,-44.624893,-38.540451,38.957722,0.522729,0.292626,0.490284,-0.633054,
199,2724614174,-6.205681,-5.996303,5.099601,-40.060986,-38.727543,37.409061,0.530511,0.288665,0.489413,-0.629060,
200,2724630841,-6.570729,-4.458267,2.252861,-29.634539,-40.914780,43.953205,0.538560,0.285746,0.487100,-0.625338,
201,2724647508,-5.809319,-4.931139,1.828717,-30.672844,-46.543327,46.332378,0.547213,0.282372,0.484294,-0.621526,
202,2724664175,-5.753457,-5.325849,0.696930,-23.148214,-48.504669,51.740150,0.556122,0.279769,0.480376,-0.617825,
203,2724680842,-6.721180,-4.735221,1.706131,-9.259901,-50.733829,53.442455,0.564709,0.278175,0.474907,-0.614977,
